QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Australian Institute for Health and Welfare (AIHW) which is a statutory body	Other ELSS agencies (National Documentation Centre, Hellenic Telecommunications and Post Commission)	Please, see: https://statistiques.public.lu/en/actors/statec/legalbasis/LawSTATEC.pdf. Statec's law covers the missions of the Committee on Public Statistics which is made up of representatives of administrations, ministries and observatories active in holding, producing and disseminating statistics.	State institutions, which provide official statistics	Statistical services under line ministries which are gazetted under the Statistics Act	The informants	NA
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R10	Other	Asia	24.73	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R10	Other	Europe	34.41	3.23							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R10	Other	Oceania	3.23	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R11	None Of The Above	Africa	18.28								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R11	None Of The Above	Americas	13.98								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R11	None Of The Above	Asia	25.81								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R11	None Of The Above	Europe	36.56	1.08							
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R11	None Of The Above	Oceania	4.3								
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R12	Other (detail)	Africa									18.28
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R12	Other (detail)	Americas								1.08	12.9
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R12	Other (detail)	Asia							1.08		24.73
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R12	Other (detail)	Europe				1.08	1.08	1.08			34.41
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	R12	Other (detail)	Oceania			1.08						3.23
