QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08	R09
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	1	1	1	0	1	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	1	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	1	1	1	0	1	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	1	1	0	0	1	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	0	1	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	1	1	1	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	1	1	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	1	1	0	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	1	1	1	1	0	1	0	1	This is partlyregulated in STATEC's law and in the laws ruling civil servants carreers.
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	1	0	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	1	1	1	1	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	1	1	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	1	1	1	1	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	0	1	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	0	0	1	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	1	0	1	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	1	0	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	1	1	1	1	1	1	0	1	Regulations for government employees also holds for the DG of the NSO
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	1	1	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	1	1	1	1	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	1	1	0	1	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	1	1	1	0	1	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	1	1	0	0	0	0	0	1	is a Polish citizen, enjoys full civil rights, has never been penalised for a deliberate criminal offence or a deliberate fiscal offence, has at least 6 years' professional experience, including at least 3 years' professional experience as an executive.
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	1	1	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	1	1	1	1	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	0	0	0	0	0	0	0	1	Legislation of the Russian Federation
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	1	1	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	1	0	0	1	1	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	1	1	0	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	1	1	1	1	1	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	0	1	1	0	1	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	1	1	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	1	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	1	1	0	1	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	1	1	0	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	1	1	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	1	1	0	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	1	1	0	1	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	0	1	1	1	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	1	1	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	0	1	1	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	1	1	1	0	1	1	0	1	In US, some executive managers are political appointees, but most senior managers, including many heads of NSOs, are career civil servants (SES).  While there may not be explicit legislation for civilian hirees, there are Human Resources guidelines.
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	1	1	0	1	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	1	0	1	0	1	1	0	0	
