QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Provide consultation and training for the adoption of international standard and classification	Statistics Canada coordinates standards by developing, publishing and promoting the use of harmonized definitional metadata standards including variables, statistical classifications and extensive classification indexes for coding to the major classifications.  Definitional metadata standards are developed for social statistics, economic statistics and geographic areas. Directives and policies are in place to ensure that statistical programs are aware of the level of metadata required and the need to use the harmonized definitional metadata including variables and classifications within statistical programs.	The Committe of official statistics coordinates with STATEC the NSS. This committee owns several sub-groups/task forces to deal, amongst others, with methodological issues. That	The statistical legislation sets the requirements to the development, approval and use of classifications within the NSS; Belstat collaborates with government bodies and organizations on the development of classifications; Belstat undertakes work on harmonization of national classifications with international classifications.	in the process of strengthening NSS	no ONAs in the country	NA
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R03	The NSO monitors compliance with classifications and standards	Asia	7.53	18.28							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R03	The NSO monitors compliance with classifications and standards	Europe	16.13	21.51							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R03	The NSO monitors compliance with classifications and standards	Oceania	3.23	1.08							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R04	Committees for specific fields are responsible for the coordination of standards	Africa	10.75	7.53							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R04	Committees for specific fields are responsible for the coordination of standards	Americas	9.68	4.3							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R04	Committees for specific fields are responsible for the coordination of standards	Asia	12.9	12.9							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R04	Committees for specific fields are responsible for the coordination of standards	Europe	25.81	11.83							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R04	Committees for specific fields are responsible for the coordination of standards	Oceania	1.08	3.23							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R05	The NSO reviews and approves questionnaires and/or methodologies	Africa	8.6	9.68							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R05	The NSO reviews and approves questionnaires and/or methodologies	Americas	8.6	5.38							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R05	The NSO reviews and approves questionnaires and/or methodologies	Asia	9.68	16.13							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R05	The NSO reviews and approves questionnaires and/or methodologies	Europe	22.58	15.05							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R05	The NSO reviews and approves questionnaires and/or methodologies	Oceania	2.15	2.15							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R06	None of the above	Africa	17.2	1.08							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R06	None of the above	Americas	12.9	1.08							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R06	None of the above	Asia	25.81								
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R06	None of the above	Europe	37.63								
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R06	None of the above	Oceania	4.3								
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R07	Other	Africa	18.28								
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R07	Other	Americas	11.83	2.15							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R07	Other	Asia	24.73	1.08							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R07	Other	Europe	34.41	3.23							
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R07	Other	Oceania	4.3								
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R08	Other (detail)	Africa									18.28
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R08	Other (detail)	Americas				1.08			1.08		11.83
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R08	Other (detail)	Asia			1.08						24.73
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R08	Other (detail)	Europe					1.08	1.08		1.08	34.41
Q02.5	Measures currently being undertaken for coordinating standards and classifications across the NSS	R08	Other (detail)	Oceania									4.3
