QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02
Q01.4b	Time span of the calendar	213	150	Europe	155	Western Europe			France	250	FRA				Developed	4-12 months	
Q01.4b	Time span of the calendar	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	4-12 months	
Q01.4b	Time span of the calendar	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed		
Q01.4b	Time span of the calendar	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	4-12 months	
Q01.4b	Time span of the calendar	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing		
Q01.4b	Time span of the calendar	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing		
Q01.4b	Time span of the calendar	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	4-12 months	
Q01.4b	Time span of the calendar	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	4-12 months	
Q01.4b	Time span of the calendar	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	4-12 months	
Q01.4b	Time span of the calendar	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	4-12 months	
Q01.4b	Time span of the calendar	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	4-12 months	
Q01.4b	Time span of the calendar	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	4-12 months	
Q01.4b	Time span of the calendar	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	4-12 months	
Q01.4b	Time span of the calendar	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	4-12 months	
Q01.4b	Time span of the calendar	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	1-3 months	
Q01.4b	Time span of the calendar	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing		
Q01.4b	Time span of the calendar	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	4-12 months	
Q01.4b	Time span of the calendar	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	4-12 months	
Q01.4b	Time span of the calendar	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	4-12 months	
Q01.4b	Time span of the calendar	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	13-24 months	
Q01.4b	Time span of the calendar	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	4-12 months	
Q01.4b	Time span of the calendar	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	4-12 months	
Q01.4b	Time span of the calendar	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	4-12 months	
Q01.4b	Time span of the calendar	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	4-12 months	
Q01.4b	Time span of the calendar	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	4-12 months	
Q01.4b	Time span of the calendar	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	4-12 months	
Q01.4b	Time span of the calendar	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing		
Q01.4b	Time span of the calendar	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	4-12 months	
Q01.4b	Time span of the calendar	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	4-12 months	
Q01.4b	Time span of the calendar	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	More than 2 years	
Q01.4b	Time span of the calendar	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing		
Q01.4b	Time span of the calendar	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	4-12 months	
Q01.4b	Time span of the calendar	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing		
Q01.4b	Time span of the calendar	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	4-12 months	
Q01.4b	Time span of the calendar	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	4-12 months	
Q01.4b	Time span of the calendar	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	4-12 months	
Q01.4b	Time span of the calendar	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	More than 2 years	
Q01.4b	Time span of the calendar	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	4-12 months	
Q01.4b	Time span of the calendar	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	4-12 months	
Q01.4b	Time span of the calendar	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	4-12 months	
Q01.4b	Time span of the calendar	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	4-12 months	
Q01.4b	Time span of the calendar	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing		
Q01.4b	Time span of the calendar	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	1-3 months	
Q01.4b	Time span of the calendar	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	4-12 months	
Q01.4b	Time span of the calendar	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	4-12 months	
Q01.4b	Time span of the calendar	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing		
Q01.4b	Time span of the calendar	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	4-12 months	
Q01.4b	Time span of the calendar	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	4-12 months	
Q01.4b	Time span of the calendar	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	4-12 months	
Q01.4b	Time span of the calendar	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	4-12 months	
Q01.4b	Time span of the calendar	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	4-12 months	
Q01.4b	Time span of the calendar	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	Other	6-18 months
Q01.4b	Time span of the calendar	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	4-12 months	
Q01.4b	Time span of the calendar	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	4-12 months	
Q01.4b	Time span of the calendar	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	13-24 months	
Q01.4b	Time span of the calendar	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	4-12 months	
Q01.4b	Time span of the calendar	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	4-12 months	
Q01.4b	Time span of the calendar	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	4-12 months	
Q01.4b	Time span of the calendar	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	Other	1-12 months
Q01.4b	Time span of the calendar	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing		
Q01.4b	Time span of the calendar	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	More than 2 years	
Q01.4b	Time span of the calendar	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	4-12 months	
Q01.4b	Time span of the calendar	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	1-3 months	
Q01.4b	Time span of the calendar	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing		
