QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Data users are also able to sign up for email notifications	Quarterly press conferences	geoportal, infographics, etc.	NA
Q01.4	Measures currently in place for disseminating statistics	R09	Providing online access to data via APIs	Europe	16.13	21.51				
Q01.4	Measures currently in place for disseminating statistics	R09	Providing online access to data via APIs	Oceania	3.23	1.08				
Q01.4	Measures currently in place for disseminating statistics	R10	Providing user support via e-mail, written correspondence or telephone	Africa	5.38	12.9				
Q01.4	Measures currently in place for disseminating statistics	R10	Providing user support via e-mail, written correspondence or telephone	Americas	1.08	12.9				
Q01.4	Measures currently in place for disseminating statistics	R10	Providing user support via e-mail, written correspondence or telephone	Asia	3.23	22.58				
Q01.4	Measures currently in place for disseminating statistics	R10	Providing user support via e-mail, written correspondence or telephone	Europe		37.63				
Q01.4	Measures currently in place for disseminating statistics	R10	Providing user support via e-mail, written correspondence or telephone	Oceania		4.3				
Q01.4	Measures currently in place for disseminating statistics	R11	None of the above	Africa	18.28					
Q01.4	Measures currently in place for disseminating statistics	R11	None of the above	Americas	13.98					
Q01.4	Measures currently in place for disseminating statistics	R11	None of the above	Asia	25.81					
Q01.4	Measures currently in place for disseminating statistics	R11	None of the above	Europe	37.63					
Q01.4	Measures currently in place for disseminating statistics	R11	None of the above	Oceania	4.3					
Q01.4	Measures currently in place for disseminating statistics	R12	Does not know 	Africa	18.28					
Q01.4	Measures currently in place for disseminating statistics	R12	Does not know 	Americas	13.98					
Q01.4	Measures currently in place for disseminating statistics	R12	Does not know 	Asia	25.81					
Q01.4	Measures currently in place for disseminating statistics	R12	Does not know 	Europe	37.63					
Q01.4	Measures currently in place for disseminating statistics	R12	Does not know 	Oceania	4.3					
Q01.4	Measures currently in place for disseminating statistics	R13	Other	Africa	18.28					
Q01.4	Measures currently in place for disseminating statistics	R13	Other	Americas	11.83	2.15				
Q01.4	Measures currently in place for disseminating statistics	R13	Other	Asia	25.81					
Q01.4	Measures currently in place for disseminating statistics	R13	Other	Europe	36.56	1.08				
Q01.4	Measures currently in place for disseminating statistics	R13	Other	Oceania	4.3					
Q01.4	Measures currently in place for disseminating statistics	R14	Other (detail)	Africa						18.28
Q01.4	Measures currently in place for disseminating statistics	R14	Other (detail)	Americas			1.08	1.08		11.83
Q01.4	Measures currently in place for disseminating statistics	R14	Other (detail)	Asia						25.81
Q01.4	Measures currently in place for disseminating statistics	R14	Other (detail)	Europe					1.08	36.56
Q01.4	Measures currently in place for disseminating statistics	R14	Other (detail)	Oceania						4.3
