QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	By following up with non-responders	By sending statistics back to the respondens where they can see where they are positioned in relation to the statistical result is done in a few cases	HBS uses a reward practice for respondents providing detailed answers according the agenda.	In some statistical surveys targeted at households incentives are given to the respondents	Incentives (promotional items) to respondents	Incentives for participation (entry into national raffles); training survey staff in how to encourage participation by reluctant respondents	Mandatory to respond for surveys conducted under the Statistics Act	National Statistics Day on 20 October	The Census Bureau makes plant visits to talk to non-respondants for certain surveys, like M3.	The respondent's calendar is posted on Belstat's official website, as well as a schedule of primary data collection in electronic form that contains information on the start date and the deadline for statistical reports collection for each statistical survey for each reporting period; The online report collection provides the possibility for respondent to view an individual list of required reporting forms.	sending paper reminders, telephone reminders, visiting companies	social media and announcement in public places	NA
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R03	By requesting informed consent	Africa	11.83	6.45													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R03	By requesting informed consent	Americas	7.53	6.45													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R03	By requesting informed consent	Asia	18.28	7.53													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R03	By requesting informed consent	Europe	20.43	17.2													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R03	By requesting informed consent	Oceania	2.15	2.15													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R04	By providing an explanatory text on the front page of the survey	Africa	3.23	15.05													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R04	By providing an explanatory text on the front page of the survey	Americas	4.3	9.68													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R04	By providing an explanatory text on the front page of the survey	Asia	6.45	19.35													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R04	By providing an explanatory text on the front page of the survey	Europe	4.3	33.33													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R04	By providing an explanatory text on the front page of the survey	Oceania	1.08	3.23													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R05	By applying fines for not responding	Africa	12.9	5.38													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R05	By applying fines for not responding	Americas	12.9	1.08													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R05	By applying fines for not responding	Asia	18.28	7.53													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R05	By applying fines for not responding	Europe	16.13	21.51													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R05	By applying fines for not responding	Oceania	2.15	2.15													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R06	By declaring the census day national holiday	Africa	16.13	2.15													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R06	By declaring the census day national holiday	Americas	12.9	1.08													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R06	By declaring the census day national holiday	Asia	22.58	3.23													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R06	By declaring the census day national holiday	Europe	37.63														
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R06	By declaring the census day national holiday	Oceania	4.3														
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R07	Other	Africa	18.28														
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R07	Other	Americas	10.75	3.23													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R07	Other	Asia	22.58	3.23													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R07	Other	Europe	31.18	6.45													
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R07	Other	Oceania	4.3														
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R08	None Of The Above	Africa	18.28														
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R08	None Of The Above	Americas	13.98														
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R08	None Of The Above	Asia	25.81														
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R08	None Of The Above	Europe	37.63														
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R08	None Of The Above	Oceania	4.3														
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R09	Other (detail)	Africa															18.28
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R09	Other (detail)	Americas							1.08	1.08			1.08				10.75
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R09	Other (detail)	Asia									1.08	1.08				1.08	22.58
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R09	Other (detail)	Europe			1.08	1.08	1.08	1.08						1.08	1.08		31.18
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	R09	Other (detail)	Oceania															4.3
