QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Analysis of Information Requests	Articles regarding methodologies and/or experimental estimates invite datauser feedback	Emails, verbal or written comments  from users	Hotline, social network	INFORMATION REQUESTS	Independent reviews purchased by Statistics Norway	Registre des visites de la bibliothèque de l'ANSD	Since 2012, the Rosstat has a Public Council, which is designed to ensure that the needs and interests of citizens of the Russian Federation are taken into account when implementing state policy in the field of official statistics, as well as with a view to undertake public control over Rosstat activities.	Social media	We do not have feedback methods  yet.	Workshp with data journalists	gathering feedback from users requesting statistical information	NA
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R05	Website traffic analysis	Americas	3.23	10.75													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R05	Website traffic analysis	Asia	11.83	13.98													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R05	Website traffic analysis	Europe	4.3	33.33													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R05	Website traffic analysis	Oceania	1.08	3.23													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R06	None of the above	Africa	18.28														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R06	None of the above	Americas	13.98														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R06	None of the above	Asia	25.81														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R06	None of the above	Europe	37.63														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R06	None of the above	Oceania	4.3														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R07	Does not know 	Africa	18.28														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R07	Does not know 	Americas	13.98														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R07	Does not know 	Asia	25.81														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R07	Does not know 	Europe	37.63														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R07	Does not know 	Oceania	4.3														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R08	Other	Africa	16.13	2.15													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R08	Other	Americas	9.68	4.3													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R08	Other	Asia	23.66	2.15													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R08	Other	Europe	33.33	4.3													
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R08	Other	Oceania	4.3														
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R09	Other (detail)	Africa									1.08			1.08			16.13
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R09	Other (detail)	Americas			1.08	1.08	1.08		1.08								9.68
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R09	Other (detail)	Asia						1.08					1.08				23.66
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R09	Other (detail)	Europe								1.08		1.08			1.08	1.08	33.33
Q01.1	Source of feedback from users on statistical products and services (e.g. needs, satisfaction) sought in the past five years	R09	Other (detail)	Oceania															4.3
