QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02
Q08.3	Frequency of meetings between producers of official statistics during the past five years	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	None of the above	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	None of the above	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	Other	At least once a month, the heads of the primary 13 US statistical agencies meet with the US Chief Statistician.
Q08.3	Frequency of meetings between producers of official statistics during the past five years	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	Once over the five-year period	
