QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Analysts, tourism industry, Eurostat	Central Bank; Ministry of Finance	Environmental associations	Lithuanian Bishops' Conference	Ministries and Government bodies, Professional Associations	Ministry representatives	National Bank	National Central Bank, local authorities	Parlement; Banque centrale	Research organizations	Researchers from public, private and academia	Students, researchers and businesses	NA
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R08	General public	Americas	11.83	2.15													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R08	General public	Asia	18.28	7.53													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R08	General public	Europe	29.03	8.6													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R08	General public	Oceania	3.23	1.08													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R09	International organizations, including financial institutions	Africa	12.9	5.38													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R09	International organizations, including financial institutions	Americas	10.75	3.23													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R09	International organizations, including financial institutions	Asia	18.28	7.53													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R09	International organizations, including financial institutions	Europe	30.11	7.53													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R09	International organizations, including financial institutions	Oceania	3.23	1.08													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R10	Other	Africa	16.13	2.15													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R10	Other	Americas	12.9	1.08													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R10	Other	Asia	24.73	1.08													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R10	Other	Europe	29.03	8.6													
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R10	Other	Oceania	4.3														
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R11	Other (detail)	Africa				1.08							1.08				16.13
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R11	Other (detail)	Americas													1.08		12.9
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R11	Other (detail)	Asia														1.08	24.73
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R11	Other (detail)	Europe			1.08		1.08	1.08	1.08	1.08	1.08	1.08		1.08			29.03
Q01.1b	Stakeholders represented in user council or organized user group in the past five years	R11	Other (detail)	Oceania															4.3
