QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	In US, some executive managers are political appointees, but most senior managers, including many heads of NSOs, are career civil servants (SES).  While there may not be explicit legislation for civilian hirees, there are Human Resources guidelines.	Legislation of the Russian Federation	Presidential Decree	Regulations for government employees also holds for the DG of the NSO	The Governor in Council  (GIC) appoints the Chief Statistician to be deputy head. The Chief Statistician will hold office for a term of not more than five (5) years, during good behaviour but may be removed for cause by the GIC. The Chief Statistician is eligible for reappointment for an additional term not exceeding five (5) years. The law provides for interim appointments not exceeding six (6) months in event of absence or incapacity of the Chief Statistician.	The listed and other aspects of the appointment and release from office of public servants are regulated by the Law on Public Service in the Republic of Belarus, Presidential Decree On certain issues of state statistics bodies No. 445 of 26 August 2008, and Presidential Decree On certain measures to improve personnel management within the system of public bodies No. 557 of 2 November 2011.	This is partlyregulated in STATEC's law and in the laws ruling civil servants carreers.	is a Polish citizen, enjoys full civil rights, has never been penalised for a deliberate criminal offence or a deliberate fiscal offence, has at least 6 years' professional experience, including at least 3 years' professional experience as an executive.	NA
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R03	Length of appointment	Europe	13.98	23.66									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R03	Length of appointment	Oceania		4.3									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R04	Age limit	Africa	15.05	3.23									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R04	Age limit	Americas	10.75	3.23									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R04	Age limit	Asia	19.35	6.45									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R04	Age limit	Europe	27.96	9.68									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R04	Age limit	Oceania	3.23	1.08									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R05	Limit of terms in office	Africa	10.75	7.53									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R05	Limit of terms in office	Americas	8.6	5.38									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R05	Limit of terms in office	Asia	17.2	8.6									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R05	Limit of terms in office	Europe	25.81	11.83									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R05	Limit of terms in office	Oceania	2.15	2.15									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R06	Reasons for dismissal	Africa	12.9	5.38									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R06	Reasons for dismissal	Americas	7.53	6.45									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R06	Reasons for dismissal	Asia	17.2	8.6									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R06	Reasons for dismissal	Europe	12.9	24.73									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R06	Reasons for dismissal	Oceania		4.3									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R07	None of the above	Africa	17.2	1.08									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R07	None of the above	Americas	12.9	1.08									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R07	None of the above	Asia	25.81										
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R07	None of the above	Europe	37.63										
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R07	None of the above	Oceania	4.3										
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R08	Other	Africa	17.2	1.08									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R08	Other	Americas	11.83	2.15									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R08	Other	Asia	25.81										
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R08	Other	Europe	32.26	5.38									
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R08	Other	Oceania	4.3										
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R09	Other (detail)	Africa					1.08						17.2
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R09	Other (detail)	Americas			1.08				1.08				11.83
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R09	Other (detail)	Asia											25.81
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R09	Other (detail)	Europe				1.08		1.08		1.08	1.08	1.08	32.26
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	R09	Other (detail)	Oceania											4.3
