QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	0	0	Dialouge meetings through ministries
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	1	1	weekly attendance at the regular Government meetings
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	1	0	The Director-General of SURS is a member of the Economic Committee of the Government.
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	0	0	Meeting with ministry
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	1	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	1	1	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	1	0	varies, depending on the situation
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	0	0	
Q02.1a	Modalities of communication between chief statistician and policy-making authorities	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	1	0	
