QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Procedures for transmission of protected information, breach protocol	We do not have a Confidentiality Policy but we have a Statistical Act 2015 that has the confidentiality clause	NA
Q06.2	Aspects considered in the confidentiality policy of the NSO	R05	Checks before releasing micro-data	Americas	5.38	8.6			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R05	Checks before releasing micro-data	Asia	6.45	19.35			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R05	Checks before releasing micro-data	Europe	8.6	29.03			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R05	Checks before releasing micro-data	Oceania	1.08	3.23			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R06	Obligation to inform respondents about uses of data	Africa	6.45	11.83			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R06	Obligation to inform respondents about uses of data	Americas	4.3	9.68			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R06	Obligation to inform respondents about uses of data	Asia	11.83	13.98			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R06	Obligation to inform respondents about uses of data	Europe	9.68	27.96			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R06	Obligation to inform respondents about uses of data	Oceania	1.08	3.23			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R07	Training of staff on protecting individual data	Africa	5.38	12.9			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R07	Training of staff on protecting individual data	Americas	4.3	9.68			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R07	Training of staff on protecting individual data	Asia	3.23	22.58			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R07	Training of staff on protecting individual data	Europe	5.38	32.26			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R07	Training of staff on protecting individual data	Oceania	1.08	3.23			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R08	Research and innovation on confidentiality	Africa	15.05	3.23			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R08	Research and innovation on confidentiality	Americas	7.53	6.45			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R08	Research and innovation on confidentiality	Asia	20.43	5.38			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R08	Research and innovation on confidentiality	Europe	22.58	15.05			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R08	Research and innovation on confidentiality	Oceania	1.08	3.23			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R09	Other	Africa	18.28				
Q06.2	Aspects considered in the confidentiality policy of the NSO	R09	Other	Americas	12.9	1.08			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R09	Other	Asia	25.81				
Q06.2	Aspects considered in the confidentiality policy of the NSO	R09	Other	Europe	37.63				
Q06.2	Aspects considered in the confidentiality policy of the NSO	R09	Other	Oceania	3.23	1.08			
Q06.2	Aspects considered in the confidentiality policy of the NSO	R10	None Of The Above	Africa	18.28				
Q06.2	Aspects considered in the confidentiality policy of the NSO	R10	None Of The Above	Americas	13.98				
Q06.2	Aspects considered in the confidentiality policy of the NSO	R10	None Of The Above	Asia	25.81				
Q06.2	Aspects considered in the confidentiality policy of the NSO	R10	None Of The Above	Europe	37.63				
Q06.2	Aspects considered in the confidentiality policy of the NSO	R10	None Of The Above	Oceania	4.3				
Q06.2	Aspects considered in the confidentiality policy of the NSO	R11	Other (detail)	Africa					18.28
Q06.2	Aspects considered in the confidentiality policy of the NSO	R11	Other (detail)	Americas			1.08		12.9
Q06.2	Aspects considered in the confidentiality policy of the NSO	R11	Other (detail)	Asia					25.81
Q06.2	Aspects considered in the confidentiality policy of the NSO	R11	Other (detail)	Europe					37.63
Q06.2	Aspects considered in the confidentiality policy of the NSO	R11	Other (detail)	Oceania				1.08	3.23
