QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	List of institutions managing official statistics in Lithuania can be found at  https://www.stat.gov.lt/en/oficialiaja-statistika-tvarkancios-institucijos	NSO Delegate Bodies	ONA:s	State institutions, which provide official statistics	Statistical units in public agencies, eg. the immigration authority, Directorate of Fisheries, Public Health Institute etc.	The term official statistics is new in Denmark. In our new statistical law it is possoble for other institutions than the NSO upon request, to produce official statistics. So far no onstitutions outside the NSO prduce official statistics in Denmark	statutory/regulatory authorities and government corporations	NA
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R09	None Of The Above	Africa	18.28									
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R09	None Of The Above	Americas	13.98									
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R09	None Of The Above	Asia	25.81									
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R09	None Of The Above	Europe	37.63									
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R09	None Of The Above	Oceania	4.3									
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R10	Other (detail)	Africa				1.08						17.2
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R10	Other (detail)	Americas									1.08	12.9
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R10	Other (detail)	Asia										25.81
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R10	Other (detail)	Europe			1.08		1.08	1.08	1.08	1.08		32.26
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	R10	Other (detail)	Oceania										4.3
