QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03
Q01.2b	NextNSDS	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing			
Q01.2b	NextNSDS	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed			
Q01.2b	NextNSDS	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	Yes	2019	
Q01.2b	NextNSDS	213	150	Europe	155	Western Europe			France	250	FRA				Developed			
Q01.2b	NextNSDS	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing			
Q01.2b	NextNSDS	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	Yes	2020	
Q01.2b	NextNSDS	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed			
Q01.2b	NextNSDS	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing			
Q01.2b	NextNSDS	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing			
Q01.2b	NextNSDS	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed			
Q01.2b	NextNSDS	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed			
Q01.2b	NextNSDS	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing			
Q01.2b	NextNSDS	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed			
Q01.2b	NextNSDS	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing			
Q01.2b	NextNSDS	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed			
Q01.2b	NextNSDS	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed			
Q01.2b	NextNSDS	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing			
Q01.2b	NextNSDS	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing			
Q01.2b	NextNSDS	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing			
Q01.2b	NextNSDS	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed			
Q01.2b	NextNSDS	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed			
Q01.2b	NextNSDS	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed			
Q01.2b	NextNSDS	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed			
Q01.2b	NextNSDS	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed			
Q01.2b	NextNSDS	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing			
Q01.2b	NextNSDS	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing			
Q01.2b	NextNSDS	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing			
Q01.2b	NextNSDS	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing			
Q01.2b	NextNSDS	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	No		In fact the current strategic plan ends in 2019. For 2019 is scheduled to design new generation of strategic plan (2020-2024).
Q01.2b	NextNSDS	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing			
Q01.2b	NextNSDS	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing			
Q01.2b	NextNSDS	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed			
Q01.2b	NextNSDS	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed			
Q01.2b	NextNSDS	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing			
Q01.2b	NextNSDS	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing			
Q01.2b	NextNSDS	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing			
Q01.2b	NextNSDS	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing			
Q01.2b	NextNSDS	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing			
Q01.2b	NextNSDS	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed			
Q01.2b	NextNSDS	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing			
Q01.2b	NextNSDS	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	Yes	2019	
Q01.2b	NextNSDS	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed			
Q01.2b	NextNSDS	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed			
Q01.2b	NextNSDS	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed			
Q01.2b	NextNSDS	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing			
Q01.2b	NextNSDS	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing			
Q01.2b	NextNSDS	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	No		Depuis le 02 novembre 2018, iI est mis en place un Secrétariat technique permanent (STP) chargé de superviser l'élaboration de la troisième Stratégie Nationale de Développement de la Statistique (SNDS 2019-2023).
Q01.2b	NextNSDS	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed			
Q01.2b	NextNSDS	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing			
Q01.2b	NextNSDS	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing			
Q01.2b	NextNSDS	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed			
Q01.2b	NextNSDS	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing			
Q01.2b	NextNSDS	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed			
Q01.2b	NextNSDS	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing			
Q01.2b	NextNSDS	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing			
Q01.2b	NextNSDS	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed			
Q01.2b	NextNSDS	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed			
Q01.2b	NextNSDS	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing			
Q01.2b	NextNSDS	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing			
Q01.2b	NextNSDS	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing			
Q01.2b	NextNSDS	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing			
Q01.2b	NextNSDS	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed			
Q01.2b	NextNSDS	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing			
Q01.2b	NextNSDS	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed			
Q01.2b	NextNSDS	117	19	Americas	21	Northern America			United States of America	840	USA				Developed			
Q01.2b	NextNSDS	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing			
Q01.2b	NextNSDS	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing			
