QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	If so required for statistical purposes by an international legal act with direct national effect or by federal law or unless the data subject has expressly and unequivocally agreed to such transmission.	In compliance with the legislation, without the written consent of the respondent, primary statistical data may be provided in relation to subordinated (affiliated) state organizations, as well as organizations whose shares (shares in the statutory capital) are state-owned and transferred to them for management.	In general not, but some data exchange on identifiable level to other Nordic NSOs given that the countries legal provisions are as strong as in Norway	Individual data must not be made public, only with the exceptions provided by the Act No CLV of 2016 on official statistics, Art. 20 39(3)	Statistics Canada may disclose individual information with permission from the authority responsible for original collection of the information from individuals and businesses. In addition to consent, the Chief Statistician must also have authorized the disclosure.	These answers are all related to enterprises but do not refer to individuals/individual households. The relations with supra national organisations (Eurostat) only based on European legal act.	We never provide information to third parties.	When exchanging data for statistical purposes with other national statistical authorities of the Member States in the EU under multilateral agreement where this is necessary for development and production of European statistical information; When exchanging data with the Bulgarian National Bank in developing, producing and disseminating official national or European statistical information or the statistical information of the European Central Bank	specific rules are provided for in European Union Law	NA
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R03	When requested by a federal institution	Africa	17.2	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R03	When requested by a federal institution	Americas	13.98											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R03	When requested by a federal institution	Asia	24.73	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R03	When requested by a federal institution	Europe	37.63											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R03	When requested by a federal institution	Oceania	3.23	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R04	In cases of emergency, such as a public health crisis	Africa	16.13	2.15										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R04	In cases of emergency, such as a public health crisis	Americas	13.98											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R04	In cases of emergency, such as a public health crisis	Asia	23.66	2.15										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R04	In cases of emergency, such as a public health crisis	Europe	36.56	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R04	In cases of emergency, such as a public health crisis	Oceania	3.23	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R05	When exchanging data with other statistical offices or agencies in the country	Africa	16.13	2.15										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R05	When exchanging data with other statistical offices or agencies in the country	Americas	13.98											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R05	When exchanging data with other statistical offices or agencies in the country	Asia	23.66	2.15										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R05	When exchanging data with other statistical offices or agencies in the country	Europe	22.58	15.05										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R05	When exchanging data with other statistical offices or agencies in the country	Oceania	4.3											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R06	When working together with supranational statistical organizations, such as Eurostat	Africa	16.13	2.15										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R06	When working together with supranational statistical organizations, such as Eurostat	Americas	13.98											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R06	When working together with supranational statistical organizations, such as Eurostat	Asia	24.73	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R06	When working together with supranational statistical organizations, such as Eurostat	Europe	27.96	9.68										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R06	When working together with supranational statistical organizations, such as Eurostat	Oceania	4.3											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R07	When the High Statistical Council agrees	Africa	15.05	3.23										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R07	When the High Statistical Council agrees	Americas	12.9	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R07	When the High Statistical Council agrees	Asia	25.81											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R07	When the High Statistical Council agrees	Europe	37.63											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R07	When the High Statistical Council agrees	Oceania	4.3											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R08	Other	Africa	18.28											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R08	Other	Americas	12.9	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R08	Other	Asia	24.73	1.08										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R08	Other	Europe	30.11	7.53										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R08	Other	Oceania	4.3											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R09	None Of The Above	Africa	12.9	5.38										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R09	None Of The Above	Americas	8.6	5.38										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R09	None Of The Above	Asia	16.13	9.68										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R09	None Of The Above	Europe	31.18	6.45										
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R09	None Of The Above	Oceania	4.3											
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R10	Other (detail)	Africa												18.28
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R10	Other (detail)	Americas							1.08					12.9
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R10	Other (detail)	Asia									1.08			24.73
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R10	Other (detail)	Europe			1.08	1.08	1.08	1.08		1.08		1.08	1.08	30.11
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	R10	Other (detail)	Oceania												4.3
