QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08	R09
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	1	0	0	0	1	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	0	0	0	0	1	1	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	1	0	0	0	1	1	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	213	150	Europe	155	Western Europe			France	250	FRA				Developed	1	1	0	0	1	1	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	0	1	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	1	0	0	0	1	1	0	These answers are all related to enterprises but do not refer to individuals/individual households. The relations with supra national organisations (Eurostat) only based on European legal act.	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	0	1	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	0	1	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	1	0	0	0	0	0	0	Individual data must not be made public, only with the exceptions provided by the Act No CLV of 2016 on official statistics, Art. 20 39(3)	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	1	0	0	0	0	1	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	0	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	0	1	0	0	1	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	0	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	0	0	0	0	0	1	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	1	0	0	0	1	1	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	0	0	0	0	0	0	1		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	0	0	0	1	1	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	0	1	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	0	0	0	0	0	0	0	In general not, but some data exchange on identifiable level to other Nordic NSOs given that the countries legal provisions are as strong as in Norway	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	1	1	1	1	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	0	1	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	0	0	0	0	0	0	0	specific rules are provided for in European Union Law	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	0	0	0	0	0	0	0	We never provide information to third parties.	0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	1	0	0	0	1	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	0	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	1	1	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	0	1	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	1	1	1	1	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	0	0	0	0	0	1	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	0	0	0	0	1	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	0	1	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	1	0	0	0	1	1	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	0	0	0	0	0	0	0		1
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	1	0	0	0	1	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	1	0	0	0	0	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	0	0	0	0	1	0	0		0
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	0	0	0	0	0	0	0		0
