QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	0	1	1	0	1	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	1	1	0	0	1	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	1	1	1	0	1	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	1	1	0	1	0	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	1	1	0	0	0	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	1	0	0	0	0	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	1	0	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	1	1	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	0	0	1	0	0	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	1	1	0	0	0	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	1	0	0	0	0	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	0	1	0	1	1	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	1	1	1	1	1	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	1	1	0	1	0	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	1	1	1	1	1	1	0	0	1	Official statistics dissemination policy is defined (https://www.stat.gov.lt/en/oficialiosios-statistikos-sklaidos-politika).  GSBPM is being implemented to improve the efficiency of organization and implementation of the processes; time used for different statistical processes is regularly monitored to find the potential to increase the efficiency of the processes; all statistical data editing rules/algorithms used in data entry programs have been revised.  Other measures, such as rearrangement of statistical surveys and sooner provision of the statistical results to the users; modernisation of business processes and organisational structure and increasing the effectiveness of statistical information production and dissemination are laid down in the new Strategy 2018-2022 of Statistics Lithuania (https://osp.stat.gov.lt/documents/29256/1366419/STRATEGY_2018_2022.pdf/d602dffa-d8ba-4100-be7a-d32c454cbc6a)
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	1	1	1	1	1	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	1	0	0	0	1	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	1	1	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	1	1	0	0	1	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	1	1	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	1	1	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	1	1	0	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	0	0	0	1	0	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	1	1	0	0	0	1	1	0	1	Also the release of the key highlights before the entire report
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	1	1	0	1	1	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	1	1	0	0	1	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	1	1	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	1	1	0	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	1	1	0	1	0	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	1	1	0	1	0	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	1	1	0	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	1	0	1	1	1	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	1	1	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	1	1	1	1	0	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	1	0	0	1	0	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	1	0	1	0	1	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	1	0	0	1	0	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	0	1	0	1	0	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	0	0	0	0	0	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	1	1	1	0	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	1	1	1	0	0	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	1	1	0	0	0	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	1	1	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	1	1	1	0	1	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	1	1	1	1	0	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	1	1	1	1	1	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	1	1	0	1	1	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	1	1	0	1	1	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	1	0	1	0	0	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	1	1	1	1	1	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	1	0	0	0	0	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	1	1	0	1	0	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	1	1	1	1	0	0	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	1	1	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	1	0	0	1	0	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	0	1	0	1	0	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	1	1	1	1	1	1	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	1	1	1	1	1	1	1	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	1	1	1	0	0	0	0	0	0	
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	0	1	0	1	0	0	0	0	0	
