QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02
Q09.1	Version of the SNA currently used	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	1993 SNA	
Q09.1	Version of the SNA currently used	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	None	
Q09.1	Version of the SNA currently used	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	1993 SNA	
Q09.1	Version of the SNA currently used	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	1993 SNA	
Q09.1	Version of the SNA currently used	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	2008 SNA	
Q09.1	Version of the SNA currently used	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	ESA 2010	
Q09.1	Version of the SNA currently used	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	ESA 2010	
Q09.1	Version of the SNA currently used	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	2008 SNA	
Q09.1	Version of the SNA currently used	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	2008 SNA	
Q09.1	Version of the SNA currently used	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	2008 SNA	
Q09.1	Version of the SNA currently used	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	1993 SNA	
Q09.1	Version of the SNA currently used	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	1993 SNA	
Q09.1	Version of the SNA currently used	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	1993 SNA	
Q09.1	Version of the SNA currently used	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	1993 SNA	
Q09.1	Version of the SNA currently used	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	2008 SNA	
Q09.1	Version of the SNA currently used	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	1993 SNA	
Q09.1	Version of the SNA currently used	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	2008 SNA	
Q09.1	Version of the SNA currently used	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	2008 SNA	
Q09.1	Version of the SNA currently used	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	Other	Please see comment 9.1a
Q09.1	Version of the SNA currently used	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	2008 SNA	
Q09.1	Version of the SNA currently used	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing		
Q09.1	Version of the SNA currently used	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	2008 SNA	
Q09.1	Version of the SNA currently used	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	1993 SNA	
Q09.1	Version of the SNA currently used	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	2008 SNA	
Q09.1	Version of the SNA currently used	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	None	
Q09.1	Version of the SNA currently used	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	1993 SNA	
Q09.1	Version of the SNA currently used	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	Other	I don't know
Q09.1	Version of the SNA currently used	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	1993 SNA	
Q09.1	Version of the SNA currently used	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	2008 SNA	
Q09.1	Version of the SNA currently used	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	Other	1993 and 2008
Q09.1	Version of the SNA currently used	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	2008 SNA	
Q09.1	Version of the SNA currently used	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	2008 SNA	
Q09.1	Version of the SNA currently used	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	2008 SNA	
