QuestionID	QuestionText	BlockID	BlockText	RegionName	0	1	Before a new statistical product is released, there is extensive vetting of methodologies, including external consultants (international, academia, etc.)	By communicating with the NSO members.	Certification System of Statitistical Quality	Con un Comité Consultivo	European Union Statistical regulations	Eurostat Experts' regular statistical reviews of key statistical areas (e.g. methodological discussion on excessive deficit procedure (EDP) statistics and government finance statistics; information relating to the Lithuanian GNI data and inventory of sources and methods; review of statistical practices used to compile the HICP); OECD experts' review on the compliance with the OECD Council Recommendation on Good Statistical Practice.	Peer reviews on the European statistics Code of Practice	The Methodological Council was set up in order to have a review of the used statistical methods from the external experts of the academic community. New statistical surveys or surveys which are subject to a major revision are discussed by the Methodological Council, which issues an opinion about the proposed changes. It is composed of ten members appointed by the SURS's Director-General. Three members are the employees of SURS and seven members are outside members â€“ experts from the field of statistical methodology from different scientific disciplines (in practice they are well known professors of statistics from the Universities). The Council is headed by the head of the Sector for Processes and Communication. The work of the Council is defined by the Instruction on the procedure for verification and approval of statistical surveys' methodology. Authorized producers are invited to participate at the sessions of the Council as observers, as well as to present their own statistical survey and benefit from the view of the experts.	NA
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R04	By publishing revision policy(ies) and other procedural manuals	Europe	8.6	29.03									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R04	By publishing revision policy(ies) and other procedural manuals	Oceania	2.15	2.15									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R05	Peer or expert reviews from international committees, national committees, professional associations, etc.	Africa	7.53	10.75									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R05	Peer or expert reviews from international committees, national committees, professional associations, etc.	Americas	6.45	7.53									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R05	Peer or expert reviews from international committees, national committees, professional associations, etc.	Asia	10.75	15.05									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R05	Peer or expert reviews from international committees, national committees, professional associations, etc.	Europe	5.38	32.26									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R05	Peer or expert reviews from international committees, national committees, professional associations, etc.	Oceania	2.15	2.15									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R06	External monitoring or auditing of the practices of the NSS (from advocacy groups or ombudsman)	Africa	15.05	3.23									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R06	External monitoring or auditing of the practices of the NSS (from advocacy groups or ombudsman)	Americas	11.83	2.15									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R06	External monitoring or auditing of the practices of the NSS (from advocacy groups or ombudsman)	Asia	19.35	6.45									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R06	External monitoring or auditing of the practices of the NSS (from advocacy groups or ombudsman)	Europe	30.11	7.53									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R06	External monitoring or auditing of the practices of the NSS (from advocacy groups or ombudsman)	Oceania	3.23	1.08									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R07	None of the above	Africa	18.28										
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R07	None of the above	Americas	12.9	1.08									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R07	None of the above	Asia	25.81										
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R07	None of the above	Europe	36.56	1.08									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R07	None of the above	Oceania	4.3										
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R08	Other	Africa	18.28										
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R08	Other	Americas	10.75	3.23									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R08	Other	Asia	24.73	1.08									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R08	Other	Europe	33.33	4.3									
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R08	Other	Oceania	4.3										
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R09	Other (detail)	Africa											18.28
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R09	Other (detail)	Americas			1.08		1.08	1.08					10.75
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R09	Other (detail)	Asia				1.08							24.73
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R09	Other (detail)	Europe							1.08	1.08	1.08	1.08	33.33
Q02.4	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	R09	Other (detail)	Oceania											4.3
