QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07
Q05.3	Quality management framework(s) currently applied by the NSO	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	0	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	0	1	1	0	1		0
Q05.3	Quality management framework(s) currently applied by the NSO	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	1	1	0	0	0	SGDD-a	0
Q05.3	Quality management framework(s) currently applied by the NSO	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	1	0	1	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	1	1	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	0	1	0	0	0	Statistical quality assurance framework	0
Q05.3	Quality management framework(s) currently applied by the NSO	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	1	1	1	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	0	0	0	0	0		1
Q05.3	Quality management framework(s) currently applied by the NSO	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	0	0	1	0	0	EFQM, SDDS, GSBPM	0
Q05.3	Quality management framework(s) currently applied by the NSO	213	150	Europe	155	Western Europe			France	250	FRA				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	0	1	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	0	0	1	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	0	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	0	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	0	0	0	0	0	European Statistics Code of Practice; National Statistics Code of Practice	0
Q05.3	Quality management framework(s) currently applied by the NSO	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	0	1	1	0	0	ISO 27001	0
Q05.3	Quality management framework(s) currently applied by the NSO	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	1	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	0	0	0	0	0	Quality framework based  on NQAF.	0
Q05.3	Quality management framework(s) currently applied by the NSO	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	1	1	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	0	1	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	1	1	0	0	0	Quality Assurance Framework for the NSO	0
Q05.3	Quality management framework(s) currently applied by the NSO	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	0	0	1	0	0	SDDS	0
Q05.3	Quality management framework(s) currently applied by the NSO	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	1	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	0	0	1	1	1	ISO EN 27 001	0
Q05.3	Quality management framework(s) currently applied by the NSO	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	0	0	1	0	0	Quality guidelines of the office	0
Q05.3	Quality management framework(s) currently applied by the NSO	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	0	0	1	1	1		0
Q05.3	Quality management framework(s) currently applied by the NSO	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	0	0	1	0	0	ISO 27001 ongoing	0
Q05.3	Quality management framework(s) currently applied by the NSO	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	1	1	1	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	0	0	0	0	0	National Quality Assurance Framework (NQAF)	0
Q05.3	Quality management framework(s) currently applied by the NSO	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	0	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	1	1	1	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	1	0	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	0	0	0	0	0		1
Q05.3	Quality management framework(s) currently applied by the NSO	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	1	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	0	0	0	0	0	ASPIRE (Stats Sweden adaptation)	0
Q05.3	Quality management framework(s) currently applied by the NSO	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	0	0	1	1	0	Lean. But first and foremost European Code of Practice.	0
Q05.3	Quality management framework(s) currently applied by the NSO	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	1	0	0	0	1		0
Q05.3	Quality management framework(s) currently applied by the NSO	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	1	1	0	1	1	UN-National Quality Assurance Framework, EFQM-excellence model, ENP-COP.	0
Q05.3	Quality management framework(s) currently applied by the NSO	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	0	0	0	0	0		1
Q05.3	Quality management framework(s) currently applied by the NSO	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	1	0	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	1	1	0	0	1	ASEAN Community Statistical System Code of Practice	0
Q05.3	Quality management framework(s) currently applied by the NSO	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	0	0	1	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	1	1	0	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	1	1	1	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	0	0	0	0	0	There is no international quality framework implemented at NBS, yet, there are elements of quality management system in place.	0
Q05.3	Quality management framework(s) currently applied by the NSO	174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	0	1	0	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	0	0	0	0	0		1
Q05.3	Quality management framework(s) currently applied by the NSO	162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	0	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	1	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	1	0	1	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	1	0	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	0	1	0	0	0	Special Data Dissemination Standards (SDDS)	0
Q05.3	Quality management framework(s) currently applied by the NSO	208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	0	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	1	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	1	0	0	0	0	CARICOM Good Statistical Practices and CARICOM  RSDS	0
Q05.3	Quality management framework(s) currently applied by the NSO	193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	0	0	1	0	1	ISO 20252:2012	0
Q05.3	Quality management framework(s) currently applied by the NSO	219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	0	0	1	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	1	0	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	0	0	1	0	0	TurkStat Quality  Assurance Framework	0
Q05.3	Quality management framework(s) currently applied by the NSO	26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	1	1	0	0	0	US943 and US942	0
Q05.3	Quality management framework(s) currently applied by the NSO	177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	0	0	0	1	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	0	1	0	0	1		0
Q05.3	Quality management framework(s) currently applied by the NSO	194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	0	0	1	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	117	19	Americas	21	Northern America			United States of America	840	USA				Developed	1	1	0	1	0	Generally, referred to as	0
Q05.3	Quality management framework(s) currently applied by the NSO	140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	0	1	0	0	0		0
Q05.3	Quality management framework(s) currently applied by the NSO	29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	1	1	0	0	0		0
