QuestionID	QuestionText	R01	R02	R03	R04	R05	R06	R07	R08	R09	R10	R11	R12	R13	R14	R15	R16	R17
Q02.9a	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles																	
Q03.1	Dissemination channels through which the NSS/NSO makes its data available to the public?	NSO Website	Other official NSS website(s)	Data portal	CD/DVD	Printed material	None of the above	Other	Other (detail)									
Q03.2	How users are informed of the quality of published data	As part of metadata provided with the data	Via methodological notes	Via quality reports	In meetings to address data quality  	None of the above	Other	Other (detail)										
Q03.3	Types of explanatory texts that accompany published data	Erratum or any other form of error correction	Notifications of major methodological changes	Metadata associated with each dataset	Guides on interpretation of data used and estimates	Manuals and protocols used by the NSS	Other	None Of The Above	Other (detail)									
Q03.3a	Reasons why no accompanying text is provided with published data																	
Q03.3b	Information included in explanatory texts that accompany published data	Concepts and definitions	Methodology	Classifications and standards	Data collection procedures	Quality assessments	Other	None Of The Above	Other (detail)									
Q03.3c	Proportion of the datasets released in the last two years by the NSO which included metadata																	
Q03.3d	Types of manuals and protocols made available with published data	Protocols for access to anonymized microdata	Rules and guidelines for revisions and errors	Manuals on data collection, editing, processing, analysis, visualization, etc.	Manuals on concepts and definitions													
Q03.4	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	African Information Highway	ArcGIS	Country STAT	DevInfo	Eurostat web portal	IMIS	NADA	OECD.Stat	US/UK open source SDGs National Reporting Platform	Prognoz (Open Data Portal) & Knoema	Custom-developed data platform	Other	None Of The Above	Other (detail)			
Q03.5	Additional comments on challenges to the implementation of Principle 3																	
Q04.1	The NSO/NSS has reacted to erroneous interpretation and misuse of statistics during the past five years																	
Q04.2	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	Sending letters to the editors of newspapers or advertorials	Holding press conferences or issuing press releases	Publishing articles on own webpage or posting on social media	None of the above	Other	Other (detail)											
Q04.2a	Types of misuse identified in the past two years?	Leading questions	Overgeneralizations	Misreporting of findings	Selective reporting of findings (omitting key findings)	Misleading graphs and data visualization	Suggesting false causality	None of the above	Other	Other (detail)								
Q04.2b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	Once over the five-year period	Twice over the five-year period	Once per year	Twice or more per year 	None of the above												
Q04.3	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Publications and booklets tailored for specific groups	Specific sections for different types of users (e.g. students) on the website	Press conferences or press releases with specific contacts for questions	Use of social media (including publishing videos)	Appearance of senior management (Director General, Chief Statistician, etc.) in mass media (TV, radio, print)	Seminars -including e-learning-, live chat sessions, podcasts	Participation in external events, such as conferences, book fairs, etc.	Awareness campaigns	None of the above	Other	Other (detail)						
Q04.3a	Number of times "seminars, participation in external events, and/or appearance in mass media" took place to educate users in the past five years																	
Q04.4	The NSO/NSS carries out user-engagement activities to better understand users' needs																	
Q04.4a	Details on user-engagement activities carried out by NSO/NSS to better understand users' needs																	
Q04.4b	Reasons why user-engagement activities are not carried out by NSO/NSS to better understand users' needs																	
Q04.5	Additional comments on challenges to the implementation of Principle 4																	
Q05.1	Sources of data currently used by the NSO	Sample surveys	Censuses	Administrative data	Privately owned datasets (such as call detail records)	Citizen generated data (from CSOs)	Web scrapped data	Satellite imagery	Other	Other (detail)								
Q05.1a	How administrative records are currently used	As a direct source of data (without linking or drawing of inferences)	As a means for estimation (combining multiple records to derive variables)	As sampling frames	As a complement to survey or census data, for correcting input errors, imputing, calibrating sample weights, etc.	As a supplement to survey or census data, adding information to what was collected in the interviews	As a means to assess non-response to surveys	None of the above	Other	Other (detail)								
Q05.1b	Actions are being taken for adapting administrative records to statistical purposes	Cooperation with custodians of administrative data at the stage of design/modernization of information systems	Providing advice to the custodians of administrative data for amending the composition of data and classification	Training personnel of the custodians of administrative data	Feedback with custodians of administrative data when errors are found	None of the above	Other	Other (detail)										
Q05.1c	How the NSS accesses and uses big data or citizen-generated data	The private provider of data (e.g. mobile phone operator) has been selected after weighing alternatives	The data provider (whether a CSO or private institution) does not contribute to methodological decisions regarding the use of the data	The NSS has a contract with the data provider	Consumers/citizens are informed that their data is being used for compiling official statistics	There are specific rules of access and confidentiality measures to treat these datasets												
Q05.2	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Monitoring the timeliness of publications against the release calendar	Using new technologies for reducing processing times	Improving or changing methodologies, such as flash estimates	Meeting with data providers to agree on deadlines	Releasing preliminary data to users	Using standardized dissemination protocols, such as Special Data Dissemination Standard	Using staff overtime or hiring temporary staff	None of the above	Other	Other (detail)							
Q05.2a	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins																	
Q05.3	Quality management framework(s) currently applied by the NSO	General Data Dissemination System	Data Quality Assessment Framework	European Statistical System Quality Assurance Framework	Total Quality Management	ISO EN 9001	Other	None Of The Above	Other (detail)									
Q05.3a	Aspects considered in the quality management framework	Monitoring of production processes, including targets (e.g. number of records failing validation checks)	Monitoring of outputs (including after they have been published)	Revisions analysis (e.g. trade-offs between accuracy and timeliness of products)	Quality management responsibilities (including assignment of tasks to specific unit(s) or position(s))	Training programme for staff	External reviews	Other	None Of the Above	Other (detail)								
Q05.4	Measure(s) being applied to reduce respondent burden	Repurposing administrative records and other data sources (e.g. big data) for statistical use	Reducing sample sizes and/or innovating on sampling techniques (for example, crowdsourcing)	Having integrated surveys and/or coordinating surveys between government agencies	Simplifying questionnaires and/or prefilling them	Producing projections and estimates	Other	None Of The Above	Other (detail)									
Q05.5	Additional comments on challenges to the implementation of Principle 5																	
Q06.1	There is a confidentiality provision in the laws that regulate the NSO/NSS																	
Q06.1a	Confidentiality provision in the laws applies to…																	
Q06.2	Aspects considered in the confidentiality policy of the NSO	Confidentiality agreement for staff, including penalties	Procedures for granting access to microdata	Contracts with non-staff who access microdata, including penalties	Procedures for storing and destroying individual records	Checks before releasing micro-data	Obligation to inform respondents about uses of data	Training of staff on protecting individual data	Research and innovation on confidentiality	Other	None Of The Above	Other (detail)						
Q06.2a	Examples of cases in which the confidentiality policy was violated in the past five years, and the sanctions that were applied																	
Q06.3	Practices being implemented to anonymize statistical data	Removing individual names of persons or enterprises in databases	Suppression of information that allows for re-identification of respondents	Applying confidentiality checks with specialized software	Manually checking data prepared for dissemination	Having specific authorities scrutinize applications for accessing confidential data	Anonymizing microdata released for research purposes	Other	None Of The Above	Other (detail)								
Q06.4	Circumnstances under which identifiable individual data can be disclosed to third parties	When the individual /enterprise consented	When a court of law issues a request	When requested by a federal institution	In cases of emergency, such as a public health crisis	When exchanging data with other statistical offices or agencies in the country	When working together with supranational statistical organizations, such as Eurostat	When the High Statistical Council agrees	Other	None Of The Above	Other (detail)							
Q06.4a	Regulations that indicate the circumstances under which individual data can be disclosed																	
Q06.5	Additional comments on challenges to the implementation of Principle 6																	
Q07.1	Existence of a general statistics law in the country																	
Q07.2	Aspects of the NSS covered by regulations (e.g. Statistical Law, presidential decrees)	The definition of official statistics	The body responsible for statistics and its responsibilities	The status, mandate and functions of the NSO	The role and status of the chief statistician	The staff of the NSO	The role and membership of the national statistical council	The coordination of statistical activities across government	The role and the responsibilities of agencies other than the NSO	The matters to be covered in the statistical work program	Sanctions for not responding to mandatory statistical enquiries	Access to administrative data	Presumption of publication and the acceptable conditions for not publishing data collected	Secrecy, confidentiality and privacy obligations (including sanctions for non-compliance)	Participation in international statistical activities	Other	None Of The Above	Other (detail)
Q07.2a	Agencies other than NSO whose role and responsibilities are covered by the law	Statistical offices at the sub-national level (region, province, etc.)	Statistical services in line ministries	Statistical services in the Central Bank	Custodians of administrative data	Chambers of commerce or other business networks	Trade unions	Statistical research and training centres 	Private institutions	Supra-national bodies (e.g. Eurostat)	Other	None Of The Above	Other (detail)					
Q07.2b	How the enforceability "sanctions for not responding to mandatory statistical enquiries” is decided for specific surveys																	
Q07.3	How the NSO has encouraged respondents to answer surveys during the past five years	By launching awareness campaigns prior to censuses or large surveys	By sending pre-announcement letters	By requesting informed consent	By providing an explanatory text on the front page of the survey	By applying fines for not responding	By declaring the census day national holiday	Other	None Of The Above	Other (detail)								
Q07.4 	Person/office within the government to whom the head of the NSO reports																	
Q07.5 	A Freedom of Information or Access to Information law covers the NSS																	
Q07.6 	Regulations affect the functioning of the NSOs published on the website																	
Q07.7 	Additional comments on challenges to the implementation of Principle 7																	
Q08.1	Agencies other than the NSO which produce official statistics on behalf of the government	Statistical offices at the sub-national level (region, province, etc.)	Statistical services in line ministries	Statistical services in the Central Bank	Statistical research and training centers	Private institutions	Public research institutions	Supra-national bodies (e.g. Eurostat)	Other	None Of The Above	Other (detail)							
Q08.2	Activities currently being implemented for coordinating the NSS	Signing of memorandums of understanding between agencies	Meeting in statistical committees, councils, etc. 	Sharing of information and databases	Developing joint training programmes	Exchanging staff between agencies	Placement of NSO staff in other agencies	Reviewing and â€œclearingâ€ any planned data collection	Monitoring duplication of work between agencies	Sharing budget between statistical agencies	Embarking in joint data collection	Preparing annual or multi-annual consolidated program of statistical activities	Performing regular quality reviews of statistical programs across the NSS	Other	None Of The Above	Other (detail)		
Q08.3	Frequency of meetings between producers of official statistics during the past five years																	
Q08.4	How is dissemination coordinated across the NSS	Unified release calendar	Standardized microdata structure	Standardized metadata structure	Other	None Of The Above	Other (detail)											
Q08.5	Existence of a central data portal where different members of the NSS publish official statistical data																	
Q08.5a	Details of data portal where different members of the NSS publish official statistical data																	
Q08.5b	Reasons/challenges explaining lack of data portal where different members of the NSS publish official statistical data																	
Q08.6	Additional comments on challenges for the implementation of Principle 8																	
Q09.1	Version of the SNA currently used																	
Q09.1a	Details on version of SNA currently used																	
Q09.2	Extent to which Principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented in the latest census programme																	
Q09.2a	Main reasons/challenges explaining why principles and Recommendations for Population and Housing Censuses, Rev. 3 (for census undertaken after 2015) or Rev. 2 (for census undertaken before 2015) are being implemented partially or not implemented in the latest census programme																	
Q09.3	Use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)	For the dissemination of time-use statistics, regardless of the type of instruments used for data collection	To guide the collection of time-use data 	As the basis for national classifications of activities for time-use statistics	None of the above	Time use is not compiled												
Q09.3a	Details on use of the International Classification of Activities for Time Use Statistics 2016 (ICATUS 2016)																	
Q09.4	Existence of a programme on EEA*?	Yes, we have compiled and published at least one EEA	Yes, we have compiled (or are compiling) at least one EEA but it has not been published	We plan (or have started) a programme on EEA, but do not yet compile any EEA	No, we do not have a programme on EEA 													
Q09.5	SDMX currently in use																	
Q09.5a	Details or examples on the use of SDMX																	
Q09.5b	Main reasons/challenges explaining the lack of use of SDMX																	
Q09.6	Additional comments on the implementation of Principle 9																	
Q10.1	Types of international cooperation activities the NSS engages in	Participation in international working groups	Participation in regional working groups	Technical cooperation	Twinning (peer to peer collaboration)	Training of statistical personnel	Peer reviews and/or external evaluations	Other	None Of The Above	Other (detail)								
Q10.2	Ways in which international cooperation has affected the functioning of your NSS																	
Q10.3	Existence of donor coordination mechanism or basket fund for statistics (if country receives support from donors)																	
Q10.3a	Details on donor coordination mechanism or basket fund for statistics																	
Q10.3b	Main reasons/challenges for lack of donor coordination mechanism or basket fund for statistics																	
Q10.4	The NSO participates in or contributes to organizations or partnerships whose purpose is to promote open data																	
Q10.4a	Organizations or partnerships whose purpose is to promote open data in which the NSO participates or contributes																	
Q10.5	Additional comments on the implementation of Principle 10																	
Q11.1	Milestones with respect to the implementation of the UNFPOS over the past 10 years																	
Q11.2	Main challenges being faced in the implementation of the UNFPOS																	
Q11.3	How implementation of the UNFPOS is expected to change over the next 10 years																	
Q11.4	How can international organizations contribute to the implementation of the UNFPOS at the country level																	
Q11.5	How long did it take to fill out this questionnaire (in minutes)?																	
