Column	QuestionID	MultipleChoiceID	QuestionText	MultipleChoiceText
C122	Q2.5	b	Measures currently being undertaken for coordinating standards and classifications across the NSS	Statistical legislation establishes common standards and/or specifies which agency is responsible for doing so
C123	Q2.5	c	Measures currently being undertaken for coordinating standards and classifications across the NSS	The NSO monitors compliance with classifications and standards
C124	Q2.5	d	Measures currently being undertaken for coordinating standards and classifications across the NSS	Committees for specific fields are responsible for the coordination of standards
C125	Q2.5	e	Measures currently being undertaken for coordinating standards and classifications across the NSS	The NSO reviews and approves questionnaires and/or methodologies
C126	Q2.5	f	Measures currently being undertaken for coordinating standards and classifications across the NSS	None of the above
C127	Q2.5	g	Measures currently being undertaken for coordinating standards and classifications across the NSS	Other
C128	Q2.6	a	Document(s) providing guidance on professional ethics for staff	Statistical law
C129	Q2.6	b	Document(s) providing guidance on professional ethics for staff	Internal regulations and staff rules
C130	Q2.6	c	Document(s) providing guidance on professional ethics for staff	Codes of conduct for civil servants
C131	Q2.6	d	Document(s) providing guidance on professional ethics for staff	Specific codes for statistical personnel
C132	Q2.6	e	Document(s) providing guidance on professional ethics for staff	None of the above
C133	Q2.6	f	Document(s) providing guidance on professional ethics for staff	Other
C134	Q2.7	a	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	Orientation and training programmes and seminars
C135	Q2.7	b	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	Swearing in of new staff and receipt of the relevant laws and guidelines
C136	Q2.7	c	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	Handbooks, booklets, posters and the Intranet
C137	Q2.7	d	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	None of the above
C138	Q2.7	e	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	Other
C139	Q2.8		How NSO/NSS develops professional qualifications of staff	
C140	Q2.9		NSO staff has received training concerning open data, data privacy or access to information policies and principles	
C141	Q2.9a		Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	
C142	Q2.9a		Reasons why NSO staff has not received training concerning open data, data privacy or access to information policies and principles	
C143	Q2.10		Other agencies in the NSS have received training concerning open data, data privacy or access to information policies and principles	
C144	Q2.10a		Type of training received by agencies in the NSS concerning open data, data privacy or access to information policies and principles	
C145	Q2.10b		Reasons why other agencies of NSS have not received training concerning open data, data privacy or access to information policies and principles	
C146	Q2.11		Additional comments on challenges to the implementation of Principle 2	
C147	Q3.1	a	Dissemination channels through which the NSS/NSO makes its data available to the public?	NSO Website
C148	Q3.1	b	Dissemination channels through which the NSS/NSO makes its data available to the public?	Other official NSS website(s)
C149	Q3.1	c	Dissemination channels through which the NSS/NSO makes its data available to the public?	Data portal
C150	Q3.1	d	Dissemination channels through which the NSS/NSO makes its data available to the public?	CD/DVD
C151	Q3.1	e	Dissemination channels through which the NSS/NSO makes its data available to the public?	Printed material
C152	Q3.1	f	Dissemination channels through which the NSS/NSO makes its data available to the public?	None of the above
C153	Q3.1	g	Dissemination channels through which the NSS/NSO makes its data available to the public?	Other
C154	Q3.2	a	How users are informed of the quality of published data	As part of metadata provided with the data
C155	Q3.2	b	How users are informed of the quality of published data	Via methodological notes
C156	Q3.2	c	How users are informed of the quality of published data	Via quality reports
C157	Q3.2	d	How users are informed of the quality of published data	In meetings to address data quality  
C158	Q3.2	e	How users are informed of the quality of published data	None of the above
C159	Q3.2	f	How users are informed of the quality of published data	Other
C160	Q3.3	a	Types of explanatory texts that accompany published data	Erratum or any other form of error correction
C161	Q3.3	b	Types of explanatory texts that accompany published data	Notifications of major methodological changes
C162	Q3.3	c	Types of explanatory texts that accompany published data	Metadata associated with each dataset
C163	Q3.3	d	Types of explanatory texts that accompany published data	Guides on interpretation of data used and estimates
C164	Q3.3	e	Types of explanatory texts that accompany published data	Manuals and protocols used by the NSS
C165	Q3.3	f	Types of explanatory texts that accompany published data	Other
C166	Q3.3	g	Types of explanatory texts that accompany published data	None Of The Above
C167	Q3.3a		Reasons why no accompanying text is provided with published data	
C168	Q3.3b	a	Information included in explanatory texts that accompany published data	Concepts and definitions
C169	Q3.3b	b	Information included in explanatory texts that accompany published data	Methodology
C170	Q3.3b	c	Information included in explanatory texts that accompany published data	Classifications and standards
C171	Q3.3b	d	Information included in explanatory texts that accompany published data	Data collection procedures
C172	Q3.3b	e	Information included in explanatory texts that accompany published data	Quality assessments
C173	Q3.3b	f	Information included in explanatory texts that accompany published data	Other
C174	Q3.3b	g	Information included in explanatory texts that accompany published data	None Of The Above
C175	Q3.3c		Proportion of the datasets released in the last two years by the NSO which included metadata	
C176	Q3.3d	a	Types of manuals and protocols made available with published data	Protocols for access to anonymized microdata
C177	Q3.3d	b	Types of manuals and protocols made available with published data	Rules and guidelines for revisions and errors
C178	Q3.3d	c	Types of manuals and protocols made available with published data	Manuals on data collection, editing, processing, analysis, visualization, etc.
C179	Q3.3d	d	Types of manuals and protocols made available with published data	Manuals on concepts and definitions
C180	Q3.4	a	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	African Information Highway
C181	Q3.4	b	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	ArcGIS
C182	Q3.4	c	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Country STAT
C183	Q3.4	d	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	DevInfo
C184	Q3.4	e	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Eurostat web portal
C185	Q3.4	f	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	IMIS
C186	Q3.4	g	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	NADA
C187	Q3.4	h	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	OECD.Stat
C188	Q3.4	i	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	US/UK open source SDGs National Reporting Platform
C189	Q3.4	j	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Prognoz (Open Data Portal) & Knoema
C190	Q3.4	k	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Custom-developed data platform
C191	Q3.4	l	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Other
C192	Q3.4	m	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	None Of The Above
C193	Q3.5		Additional comments on challenges to the implementation of Principle 3	
C194	Q4.1		The NSO/NSS has reacted to erroneous interpretation and misuse of statistics during the past five years	
C195	Q4.2	a	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	Sending letters to the editors of newspapers or advertorials
C196	Q4.2	b	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	Holding press conferences or issuing press releases
C197	Q4.2	c	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	Publishing articles on own webpage or posting on social media
C198	Q4.2	d	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	None of the above
C199	Q4.2	e	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	Other
C200	Q4.2a	a	Types of misuse identified in the past two years?	Leading questions
C201	Q4.2a	b	Types of misuse identified in the past two years?	Overgeneralizations
C202	Q4.2a	c	Types of misuse identified in the past two years?	Misreporting of findings
C203	Q4.2a	d	Types of misuse identified in the past two years?	Selective reporting of findings (omitting key findings)
C204	Q4.2a	e	Types of misuse identified in the past two years?	Misleading graphs and data visualization
C205	Q4.2a	f	Types of misuse identified in the past two years?	Suggesting false causality
C206	Q4.2a	g	Types of misuse identified in the past two years?	None of the above
C207	Q4.2a	h	Types of misuse identified in the past two years?	Other
C208	Q4.2b	a	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	Once over the five-year period
C209	Q4.2b	b	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	Twice over the five-year period
C210	Q4.2b	c	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	Once per year
C211	Q4.2b	d	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	Twice or more per year 
C212	Q4.2b	e	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	None of the above
C213	Q4.3	a	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Publications and booklets tailored for specific groups
C214	Q4.3	b	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Specific sections for different types of users (e.g. students) on the website
C215	Q4.3	c	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Press conferences or press releases with specific contacts for questions
C216	Q4.3	d	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Use of social media (including publishing videos)
C217	Q4.3	e	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Appearance of senior management (Director General, Chief Statistician, etc.) in mass media (TV, radio, print)
C218	Q4.3	f	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Seminars -including e-learning-, live chat sessions, podcasts
C219	Q4.3	g	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Participation in external events, such as conferences, book fairs, etc.
C220	Q4.3	h	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Awareness campaigns
C221	Q4.3	i	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	None of the above
C222	Q4.3	j	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Other
C223	Q4.3a		Number of times "seminars, participation in external events, and/or appearance in mass media" took place to educate users in the past five years	
C224	Q4.4		The NSO/NSS carries out user-engagement activities to better understand users' needs	
C225	Q4.4a		Details on user-engagement activities carried out by NSO/NSS to better understand users' needs	
C226	Q4.4b		Reasons why user-engagement activities are not carried out by NSO/NSS to better understand users' needs	
C227	Q4.5		Additional comments on challenges to the implementation of Principle 4	
C228	Q5.1	a	Sources of data currently used by the NSO	Sample surveys
C229	Q5.1	b	Sources of data currently used by the NSO	Censuses
C230	Q5.1	c	Sources of data currently used by the NSO	Administrative data
C231	Q5.1	d	Sources of data currently used by the NSO	Privately owned datasets (such as call detail records)
C232	Q5.1	e	Sources of data currently used by the NSO	Citizen generated data (from CSOs)
C233	Q5.1	f	Sources of data currently used by the NSO	Web scrapped data
C234	Q5.1	g	Sources of data currently used by the NSO	Satellite imagery
C235	Q5.1	h	Sources of data currently used by the NSO	Other
C236	Q5.1a	a	How administrative records are currently used	As a direct source of data (without linking or drawing of inferences)
C237	Q5.1a	b	How administrative records are currently used	As a means for estimation (combining multiple records to derive variables)
C238	Q5.1a	c	How administrative records are currently used	As sampling frames
C239	Q5.1a	d	How administrative records are currently used	As a complement to survey or census data, for correcting input errors, imputing, calibrating sample weights, etc.
C240	Q5.1a	e	How administrative records are currently used	As a supplement to survey or census data, adding information to what was collected in the interviews
C241	Q5.1a	f	How administrative records are currently used	As a means to assess non-response to surveys
C242	Q5.1a	g	How administrative records are currently used	None of the above
C243	Q5.1a	h	How administrative records are currently used	Other
C244	Q5.1b	a	Actions are being taken for adapting administrative records to statistical purposes	Cooperation with custodians of administrative data at the stage of design/modernization of information systems
C245	Q5.1b	b	Actions are being taken for adapting administrative records to statistical purposes	Providing advice to the custodians of administrative data for amending the composition of data and classification
C246	Q5.1b	c	Actions are being taken for adapting administrative records to statistical purposes	Training personnel of the custodians of administrative data
C247	Q5.1b	d	Actions are being taken for adapting administrative records to statistical purposes	Feedback with custodians of administrative data when errors are found
C248	Q5.1b	e	Actions are being taken for adapting administrative records to statistical purposes	None of the above
C249	Q5.1b	f	Actions are being taken for adapting administrative records to statistical purposes	Other
C250	Q5.1c	a	How the NSS accesses and uses big data or citizen-generated data	The private provider of data (e.g. mobile phone operator) has been selected after weighing alternatives
C251	Q5.1c	b	How the NSS accesses and uses big data or citizen-generated data	The data provider (whether a CSO or private institution) does not contribute to methodological decisions regarding the use of the data
C252	Q5.1c	c	How the NSS accesses and uses big data or citizen-generated data	The NSS has a contract with the data provider
C253	Q5.1c	d	How the NSS accesses and uses big data or citizen-generated data	Consumers/citizens are informed that their data is being used for compiling official statistics
C254	Q5.1c	e	How the NSS accesses and uses big data or citizen-generated data	There are specific rules of access and confidentiality measures to treat these datasets
C255	Q5.2	a	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Monitoring the timeliness of publications against the release calendar
C256	Q5.2	b	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Using new technologies for reducing processing times
C257	Q5.2	c	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Improving or changing methodologies, such as flash estimates
C258	Q5.2	d	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Meeting with data providers to agree on deadlines
C259	Q5.2	e	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Releasing preliminary data to users
C260	Q5.2	f	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Using standardized dissemination protocols, such as Special Data Dissemination Standard
C261	Q5.2	g	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Using staff overtime or hiring temporary staff
C262	Q5.2	h	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	None of the above
C263	Q5.2	i	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Other
C264	Q5.2a		Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	
C265	Q5.3	a	Quality management framework(s) currently applied by the NSO	General Data Dissemination System
C266	Q5.3	b	Quality management framework(s) currently applied by the NSO	Data Quality Assessment Framework
C267	Q5.3	c	Quality management framework(s) currently applied by the NSO	European Statistical System Quality Assurance Framework
C268	Q5.3	d	Quality management framework(s) currently applied by the NSO	Total Quality Management
C269	Q5.3	e	Quality management framework(s) currently applied by the NSO	ISO EN 9001
C270	Q5.3	f	Quality management framework(s) currently applied by the NSO	Other
C271	Q5.3	g	Quality management framework(s) currently applied by the NSO	None Of The Above
C272	Q5.3a	a	Aspects considered in the quality management framework	Monitoring of production processes, including targets (e.g. number of records failing validation checks)
C273	Q5.3a	b	Aspects considered in the quality management framework	Monitoring of outputs (including after they have been published)
C274	Q5.3a	c	Aspects considered in the quality management framework	Revisions analysis (e.g. trade-offs between accuracy and timeliness of products)
C275	Q5.3a	d	Aspects considered in the quality management framework	Quality management responsibilities (including assignment of tasks to specific unit(s) or position(s))
C276	Q5.3a	e	Aspects considered in the quality management framework	Training programme for staff
C277	Q5.3a	f	Aspects considered in the quality management framework	External reviews
C278	Q5.3a	g	Aspects considered in the quality management framework	Other
C279	Q5.3a	h	Aspects considered in the quality management framework	None Of the Above
C280	Q5.4	a	Measure(s) being applied to reduce respondent burden	Repurposing administrative records and other data sources (e.g. big data) for statistical use
C281	Q5.4	b	Measure(s) being applied to reduce respondent burden	Reducing sample sizes and/or innovating on sampling techniques (for example, crowdsourcing)
C282	Q5.4	c	Measure(s) being applied to reduce respondent burden	Having integrated surveys and/or coordinating surveys between government agencies
C283	Q5.4	d	Measure(s) being applied to reduce respondent burden	Simplifying questionnaires and/or prefilling them
C284	Q5.4	e	Measure(s) being applied to reduce respondent burden	Producing projections and estimates
C285	Q5.4	f	Measure(s) being applied to reduce respondent burden	Other
C286	Q5.4	g	Measure(s) being applied to reduce respondent burden	None Of The Above
C287	Q5.5		Additional comments on challenges to the implementation of Principle 5	
C288	Q6.1		There is a confidentiality provision in the laws that regulate the NSO/NSS	
C289	Q6.1a		Confidentiality provision in the laws applies to…	
C290	Q6.2	a	Aspects considered in the confidentiality policy of the NSO	Confidentiality agreement for staff, including penalties
C291	Q6.2	b	Aspects considered in the confidentiality policy of the NSO	Procedures for granting access to microdata
C292	Q6.2	c	Aspects considered in the confidentiality policy of the NSO	Contracts with non-staff who access microdata, including penalties
C293	Q6.2	d	Aspects considered in the confidentiality policy of the NSO	Procedures for storing and destroying individual records
C294	Q6.2	e	Aspects considered in the confidentiality policy of the NSO	Checks before releasing micro-data
C295	Q6.2	f	Aspects considered in the confidentiality policy of the NSO	Obligation to inform respondents about uses of data
C296	Q6.2	g	Aspects considered in the confidentiality policy of the NSO	Training of staff on protecting individual data
C297	Q6.2	h	Aspects considered in the confidentiality policy of the NSO	Research and innovation on confidentiality
C298	Q6.2	i	Aspects considered in the confidentiality policy of the NSO	Other
C299	Q6.2	j	Aspects considered in the confidentiality policy of the NSO	None Of The Above
C300	Q6.2a		Examples of cases in which the confidentiality policy was violated in the past five years, and the sanctions that were applied	
C301	Q6.3	a	Practices being implemented to anonymize statistical data	Removing individual names of persons or enterprises in databases
C302	Q6.3	b	Practices being implemented to anonymize statistical data	Suppression of information that allows for re-identification of respondents
C303	Q6.3	c	Practices being implemented to anonymize statistical data	Applying confidentiality checks with specialized software
C304	Q6.3	d	Practices being implemented to anonymize statistical data	Manually checking data prepared for dissemination
C305	Q6.3	e	Practices being implemented to anonymize statistical data	Having specific authorities scrutinize applications for accessing confidential data
C306	Q6.3	f	Practices being implemented to anonymize statistical data	Anonymizing microdata released for research purposes
C307	Q6.3	g	Practices being implemented to anonymize statistical data	Other
C308	Q6.3	h	Practices being implemented to anonymize statistical data	None Of The Above
C309	Q6.4	a	Circumnstances under which identifiable individual data can be disclosed to third parties	When the individual /enterprise consented
C310	Q6.4	b	Circumnstances under which identifiable individual data can be disclosed to third parties	When a court of law issues a request
C311	Q6.4	c	Circumnstances under which identifiable individual data can be disclosed to third parties	When requested by a federal institution
C312	Q6.4	d	Circumnstances under which identifiable individual data can be disclosed to third parties	In cases of emergency, such as a public health crisis
C313	Q6.4	e	Circumnstances under which identifiable individual data can be disclosed to third parties	When exchanging data with other statistical offices or agencies in the country
C314	Q6.4	f	Circumnstances under which identifiable individual data can be disclosed to third parties	When working together with supranational statistical organizations, such as Eurostat
C315	Q6.4	g	Circumnstances under which identifiable individual data can be disclosed to third parties	When the High Statistical Council agrees
