Column	QuestionID	ResponseID	QuestionText	MultipleChoiceText
C75	Q01.6	R04	Groups of users given access to statistics prior to their public release in the past five years	Chamber of commerce or other business networks
C76	Q01.6	R05	Groups of users given access to statistics prior to their public release in the past five years	International organizations, including IFIs
C77	Q01.6	R06	Groups of users given access to statistics prior to their public release in the past five years	None of the above
C78	Q01.6	R07	Groups of users given access to statistics prior to their public release in the past five years	Other
C79	Q01.6a	R01	If any user has access to a pre-release, is this publicly identified?	
C80	Q01.6b	R01	Additional details on pre-release	
C81	Q01.7a	R01	Conditions for online access to aggregates and/or microdata	For a fee
C82	Q01.7a	R02	Conditions for online access to aggregates and/or microdata	After registration on the website
C83	Q01.7a	R03	Conditions for online access to aggregates and/or microdata	Under publicly available terms of use
C84	Q01.7a	R04	Conditions for online access to aggregates and/or microdata	After signing a licensing agreement
C85	Q01.7a	R05	Conditions for online access to aggregates and/or microdata	Other
C86	Q01.7b	R01	Conditions for re-distribution of anonymized microdata data and aggregates	For non-commercial purposes
C87	Q01.7b	R02	Conditions for re-distribution of anonymized microdata data and aggregates	For commercial purposes
C88	Q01.7b	R03	Conditions for re-distribution of anonymized microdata data and aggregates	For a fee
C89	Q01.7b	R04	Conditions for re-distribution of anonymized microdata data and aggregates	Under condition of attribution of the source 
C90	Q01.7b	R05	Conditions for re-distribution of anonymized microdata data and aggregates	Other
C91	Q01.7c	R01	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	For non-commercial purposes
C92	Q01.7c	R02	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	For commercial purposes
C93	Q01.7c	R03	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	For a fee
C94	Q01.7c	R04	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	Under condition of attribution of the source
C95	Q01.7c	R05	Conditions for distribution of derivative works based on the aggregates and/or microdata that are available online	Other
C96	Q01.8	R01	Aditional comments on challenges to the implementation of Principle 1	
C97	Q02.1	R01	Chief statistician has direct access to policy-making authorities	
C98	Q02.1a	R01	Modalities of communication between chief statistician and policy-making authorities	Meetings with Ministers/deputy Ministers
C99	Q02.1a	R02	Modalities of communication between chief statistician and policy-making authorities	Attending Upper/lower house hearings
C100	Q02.1a	R03	Modalities of communication between chief statistician and policy-making authorities	Other
C101	Q02.1b	R01	Main reasons/challenges preventing direct access to policy-making authorities by chief statistician	
C102	Q02.2	R01	Existence of clear rules for appointment and dismissal of the head of NSO	
C103	Q02.2a	R01	Aspects regulated in rules for appointment and dismissal of the head of NSO	Qualifications
C104	Q02.2a	R02	Aspects regulated in rules for appointment and dismissal of the head of NSO	Selection procedure
C105	Q02.2a	R03	Aspects regulated in rules for appointment and dismissal of the head of NSO	Length of appointment
C106	Q02.2a	R04	Aspects regulated in rules for appointment and dismissal of the head of NSO	Age limit
C107	Q02.2a	R05	Aspects regulated in rules for appointment and dismissal of the head of NSO	Limit of terms in office
C108	Q02.2a	R06	Aspects regulated in rules for appointment and dismissal of the head of NSO	Reasons for dismissal
C109	Q02.2a	R07	Aspects regulated in rules for appointment and dismissal of the head of NSO	None of the above
C110	Q02.2a	R08	Aspects regulated in rules for appointment and dismissal of the head of NSO	Other
C111	Q02.3	R01	Inquiries (e.g. by the media, the academia, advocacy groups) on procedure for selecting a head of the NSO in the past five years	
C112	Q02.3a	R01	What was questioned in inquiries (e.g. by the media, the academia, advocacy groups) on procedure for selecting a head of the NSO in the past five years	
C113	Q02.4	R01	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	By authorizing statistical or methodological councils to take formal decisions on the methodology
C114	Q02.4	R02	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	By using internationally recommended standards and methods
C115	Q02.4	R03	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	By fully disclosing the applied methodology(ies)
C116	Q02.4	R04	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	By publishing revision policy(ies) and other procedural manuals
C117	Q02.4	R05	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	Peer or expert reviews from international committees, national committees, professional associations, etc.
C118	Q02.4	R06	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	External monitoring or auditing of the practices of the NSS (from advocacy groups or ombudsman)
C119	Q02.4	R07	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	None of the above
C120	Q02.4	R08	How NSS seeked external endorsement of its methodologies and survey designs in the past five years	Other
C121	Q02.5	R01	Measures currently being undertaken for coordinating standards and classifications across the NSS	The NSO compiles, publishes and promotes the consistent use of standards and classifications
C122	Q02.5	R02	Measures currently being undertaken for coordinating standards and classifications across the NSS	Statistical legislation establishes common standards and/or specifies which agency is responsible for doing so
C123	Q02.5	R03	Measures currently being undertaken for coordinating standards and classifications across the NSS	The NSO monitors compliance with classifications and standards
C124	Q02.5	R04	Measures currently being undertaken for coordinating standards and classifications across the NSS	Committees for specific fields are responsible for the coordination of standards
C125	Q02.5	R05	Measures currently being undertaken for coordinating standards and classifications across the NSS	The NSO reviews and approves questionnaires and/or methodologies
C126	Q02.5	R06	Measures currently being undertaken for coordinating standards and classifications across the NSS	None of the above
C127	Q02.5	R07	Measures currently being undertaken for coordinating standards and classifications across the NSS	Other
C128	Q02.6	R01	Document(s) providing guidance on professional ethics for staff	Statistical law
C129	Q02.6	R02	Document(s) providing guidance on professional ethics for staff	Internal regulations and staff rules
C130	Q02.6	R03	Document(s) providing guidance on professional ethics for staff	Codes of conduct for civil servants
C131	Q02.6	R04	Document(s) providing guidance on professional ethics for staff	Specific codes for statistical personnel
C132	Q02.6	R05	Document(s) providing guidance on professional ethics for staff	None of the above
C133	Q02.6	R06	Document(s) providing guidance on professional ethics for staff	Other
C134	Q02.7	R01	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	Orientation and training programmes and seminars
C135	Q02.7	R02	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	Swearing in of new staff and receipt of the relevant laws and guidelines
C136	Q02.7	R03	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	Handbooks, booklets, posters and the Intranet
C137	Q02.7	R04	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	None of the above
C138	Q02.7	R05	Ways in which staff have been informed and reminded of existing codes of conduct, in the past five years	Other
C139	Q02.8	R01	How NSO/NSS develops professional qualifications of staff	
C140	Q02.9	R01	NSO staff has received training concerning open data, data privacy or access to information policies and principles	
C141	Q02.9a	R01	Type of training received by NSO staff concerning open data, data privacy or access to information policies and principles	
C142	Q02.9a	R02	Reasons why NSO staff has not received training concerning open data, data privacy or access to information policies and principles	
C143	Q02.10	R01	Other agencies in the NSS have received training concerning open data, data privacy or access to information policies and principles	
C144	Q02.10a	R01	Type of training received by agencies in the NSS concerning open data, data privacy or access to information policies and principles	
C145	Q02.10b	R01	Reasons why other agencies of NSS have not received training concerning open data, data privacy or access to information policies and principles	
C146	Q02.11	R01	Additional comments on challenges to the implementation of Principle 2	
C147	Q03.1	R01	Dissemination channels through which the NSS/NSO makes its data available to the public?	NSO Website
C148	Q03.1	R02	Dissemination channels through which the NSS/NSO makes its data available to the public?	Other official NSS website(s)
C149	Q03.1	R03	Dissemination channels through which the NSS/NSO makes its data available to the public?	Data portal
C150	Q03.1	R04	Dissemination channels through which the NSS/NSO makes its data available to the public?	CD/DVD
C151	Q03.1	R05	Dissemination channels through which the NSS/NSO makes its data available to the public?	Printed material
C152	Q03.1	R06	Dissemination channels through which the NSS/NSO makes its data available to the public?	None of the above
C153	Q03.1	R07	Dissemination channels through which the NSS/NSO makes its data available to the public?	Other
C154	Q03.2	R01	How users are informed of the quality of published data	As part of metadata provided with the data
C155	Q03.2	R02	How users are informed of the quality of published data	Via methodological notes
C156	Q03.2	R03	How users are informed of the quality of published data	Via quality reports
C157	Q03.2	R04	How users are informed of the quality of published data	In meetings to address data quality  
C158	Q03.2	R05	How users are informed of the quality of published data	None of the above
C159	Q03.2	R06	How users are informed of the quality of published data	Other
C160	Q03.3	R01	Types of explanatory texts that accompany published data	Erratum or any other form of error correction
C161	Q03.3	R02	Types of explanatory texts that accompany published data	Notifications of major methodological changes
C162	Q03.3	R03	Types of explanatory texts that accompany published data	Metadata associated with each dataset
C163	Q03.3	R04	Types of explanatory texts that accompany published data	Guides on interpretation of data used and estimates
C164	Q03.3	R05	Types of explanatory texts that accompany published data	Manuals and protocols used by the NSS
C165	Q03.3	R06	Types of explanatory texts that accompany published data	Other
C166	Q03.3	R07	Types of explanatory texts that accompany published data	None Of The Above
C167	Q03.3a	R01	Reasons why no accompanying text is provided with published data	
C168	Q03.3b	R01	Information included in explanatory texts that accompany published data	Concepts and definitions
C169	Q03.3b	R02	Information included in explanatory texts that accompany published data	Methodology
C170	Q03.3b	R03	Information included in explanatory texts that accompany published data	Classifications and standards
C171	Q03.3b	R04	Information included in explanatory texts that accompany published data	Data collection procedures
C172	Q03.3b	R05	Information included in explanatory texts that accompany published data	Quality assessments
C173	Q03.3b	R06	Information included in explanatory texts that accompany published data	Other
C174	Q03.3b	R07	Information included in explanatory texts that accompany published data	None Of The Above
C175	Q03.3c	R01	Proportion of the datasets released in the last two years by the NSO which included metadata	
C176	Q03.3d	R01	Types of manuals and protocols made available with published data	Protocols for access to anonymized microdata
C177	Q03.3d	R02	Types of manuals and protocols made available with published data	Rules and guidelines for revisions and errors
C178	Q03.3d	R03	Types of manuals and protocols made available with published data	Manuals on data collection, editing, processing, analysis, visualization, etc.
C179	Q03.3d	R04	Types of manuals and protocols made available with published data	Manuals on concepts and definitions
C180	Q03.4	R01	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	African Information Highway
C181	Q03.4	R02	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	ArcGIS
C182	Q03.4	R03	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Country STAT
C183	Q03.4	R04	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	DevInfo
C184	Q03.4	R05	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Eurostat web portal
C185	Q03.4	R06	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	IMIS
C186	Q03.4	R07	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	NADA
C187	Q03.4	R08	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	OECD.Stat
C188	Q03.4	R09	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	US/UK open source SDGs National Reporting Platform
C189	Q03.4	R10	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Prognoz (Open Data Portal) & Knoema
C190	Q03.4	R11	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Custom-developed data platform
C191	Q03.4	R12	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	Other
C192	Q03.4	R13	Data platforms(s) currently used by NSS/NSO to disseminate statistical data	None Of The Above
C193	Q03.5	R01	Additional comments on challenges to the implementation of Principle 3	
C194	Q04.1	R01	The NSO/NSS has reacted to erroneous interpretation and misuse of statistics during the past five years	
C195	Q04.2	R01	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	Sending letters to the editors of newspapers or advertorials
C196	Q04.2	R02	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	Holding press conferences or issuing press releases
C197	Q04.2	R03	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	Publishing articles on own webpage or posting on social media
C198	Q04.2	R04	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	None of the above
C199	Q04.2	R05	How NSO/NSS reacted to erroneous inerpretations and misuse of statistics during the past five years	Other
C200	Q04.2a	R01	Types of misuse identified in the past two years?	Leading questions
C201	Q04.2a	R02	Types of misuse identified in the past two years?	Overgeneralizations
C202	Q04.2a	R03	Types of misuse identified in the past two years?	Misreporting of findings
C203	Q04.2a	R04	Types of misuse identified in the past two years?	Selective reporting of findings (omitting key findings)
C204	Q04.2a	R05	Types of misuse identified in the past two years?	Misleading graphs and data visualization
C205	Q04.2a	R06	Types of misuse identified in the past two years?	Suggesting false causality
C206	Q04.2a	R07	Types of misuse identified in the past two years?	None of the above
C207	Q04.2a	R08	Types of misuse identified in the past two years?	Other
C208	Q04.2b	R01	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	Once over the five-year period
C209	Q04.2b	R02	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	Twice over the five-year period
C210	Q04.2b	R03	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	Once per year
C211	Q04.2b	R04	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	Twice or more per year 
C212	Q04.2b	R05	Number of times the NSO/NSS commented on erroneous interpretation and misuse of statistics in the past five years	None of the above
C213	Q04.3	R01	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Publications and booklets tailored for specific groups
C214	Q04.3	R02	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Specific sections for different types of users (e.g. students) on the website
C215	Q04.3	R03	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Press conferences or press releases with specific contacts for questions
C216	Q04.3	R04	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Use of social media (including publishing videos)
C217	Q04.3	R05	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Appearance of senior management (Director General, Chief Statistician, etc.) in mass media (TV, radio, print)
C218	Q04.3	R06	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Seminars -including e-learning-, live chat sessions, podcasts
C219	Q04.3	R07	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Participation in external events, such as conferences, book fairs, etc.
C220	Q04.3	R08	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Awareness campaigns
C221	Q04.3	R09	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	None of the above
C222	Q04.3	R10	Activities carried out by the NSO/NSS to educate data users in the past five years, including the media	Other
C223	Q04.3a	R01	Number of times "seminars, participation in external events, and/or appearance in mass media" took place to educate users in the past five years	
C224	Q04.4	R01	The NSO/NSS carries out user-engagement activities to better understand users' needs	
C225	Q04.4a	R01	Details on user-engagement activities carried out by NSO/NSS to better understand users' needs	
C226	Q04.4b	R01	Reasons why user-engagement activities are not carried out by NSO/NSS to better understand users' needs	
C227	Q04.5	R01	Additional comments on challenges to the implementation of Principle 4	
C228	Q05.1	R01	Sources of data currently used by the NSO	Sample surveys
C229	Q05.1	R02	Sources of data currently used by the NSO	Censuses
C230	Q05.1	R03	Sources of data currently used by the NSO	Administrative data
C231	Q05.1	R04	Sources of data currently used by the NSO	Privately owned datasets (such as call detail records)
C232	Q05.1	R05	Sources of data currently used by the NSO	Citizen generated data (from CSOs)
C233	Q05.1	R06	Sources of data currently used by the NSO	Web scrapped data
C234	Q05.1	R07	Sources of data currently used by the NSO	Satellite imagery
C235	Q05.1	R08	Sources of data currently used by the NSO	Other
C236	Q05.1a	R01	How administrative records are currently used	As a direct source of data (without linking or drawing of inferences)
C237	Q05.1a	R02	How administrative records are currently used	As a means for estimation (combining multiple records to derive variables)
C238	Q05.1a	R03	How administrative records are currently used	As sampling frames
C239	Q05.1a	R04	How administrative records are currently used	As a complement to survey or census data, for correcting input errors, imputing, calibrating sample weights, etc.
C240	Q05.1a	R05	How administrative records are currently used	As a supplement to survey or census data, adding information to what was collected in the interviews
C241	Q05.1a	R06	How administrative records are currently used	As a means to assess non-response to surveys
C242	Q05.1a	R07	How administrative records are currently used	None of the above
C243	Q05.1a	R08	How administrative records are currently used	Other
C244	Q05.1b	R01	Actions are being taken for adapting administrative records to statistical purposes	Cooperation with custodians of administrative data at the stage of design/modernization of information systems
C245	Q05.1b	R02	Actions are being taken for adapting administrative records to statistical purposes	Providing advice to the custodians of administrative data for amending the composition of data and classification
C246	Q05.1b	R03	Actions are being taken for adapting administrative records to statistical purposes	Training personnel of the custodians of administrative data
C247	Q05.1b	R04	Actions are being taken for adapting administrative records to statistical purposes	Feedback with custodians of administrative data when errors are found
C248	Q05.1b	R05	Actions are being taken for adapting administrative records to statistical purposes	None of the above
C249	Q05.1b	R06	Actions are being taken for adapting administrative records to statistical purposes	Other
C250	Q05.1c	R01	How the NSS accesses and uses big data or citizen-generated data	The private provider of data (e.g. mobile phone operator) has been selected after weighing alternatives
C251	Q05.1c	R02	How the NSS accesses and uses big data or citizen-generated data	The data provider (whether a CSO or private institution) does not contribute to methodological decisions regarding the use of the data
C252	Q05.1c	R03	How the NSS accesses and uses big data or citizen-generated data	The NSS has a contract with the data provider
C253	Q05.1c	R04	How the NSS accesses and uses big data or citizen-generated data	Consumers/citizens are informed that their data is being used for compiling official statistics
C254	Q05.1c	R05	How the NSS accesses and uses big data or citizen-generated data	There are specific rules of access and confidentiality measures to treat these datasets
C255	Q05.2	R01	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Monitoring the timeliness of publications against the release calendar
C256	Q05.2	R02	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Using new technologies for reducing processing times
C257	Q05.2	R03	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Improving or changing methodologies, such as flash estimates
C258	Q05.2	R04	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Meeting with data providers to agree on deadlines
C259	Q05.2	R05	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Releasing preliminary data to users
C260	Q05.2	R06	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Using standardized dissemination protocols, such as Special Data Dissemination Standard
C261	Q05.2	R07	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Using staff overtime or hiring temporary staff
C262	Q05.2	R08	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	None of the above
C263	Q05.2	R09	Measures taken to ensure timely release of survey results and/or statistical publications/bulletins	Other
C264	Q05.2a	R01	Details on new technologies or methodologies used to ensure timely release of survey results and/or statistical publications/bulletins	
C265	Q05.3	R01	Quality management framework(s) currently applied by the NSO	General Data Dissemination System
C266	Q05.3	R02	Quality management framework(s) currently applied by the NSO	Data Quality Assessment Framework
C267	Q05.3	R03	Quality management framework(s) currently applied by the NSO	European Statistical System Quality Assurance Framework
C268	Q05.3	R04	Quality management framework(s) currently applied by the NSO	Total Quality Management
C269	Q05.3	R05	Quality management framework(s) currently applied by the NSO	ISO EN 9001
C270	Q05.3	R06	Quality management framework(s) currently applied by the NSO	Other
C271	Q05.3	R07	Quality management framework(s) currently applied by the NSO	None Of The Above
C272	Q05.3a	R01	Aspects considered in the quality management framework	Monitoring of production processes, including targets (e.g. number of records failing validation checks)
C273	Q05.3a	R02	Aspects considered in the quality management framework	Monitoring of outputs (including after they have been published)
C274	Q05.3a	R03	Aspects considered in the quality management framework	Revisions analysis (e.g. trade-offs between accuracy and timeliness of products)
C275	Q05.3a	R04	Aspects considered in the quality management framework	Quality management responsibilities (including assignment of tasks to specific unit(s) or position(s))
C276	Q05.3a	R05	Aspects considered in the quality management framework	Training programme for staff
C277	Q05.3a	R06	Aspects considered in the quality management framework	External reviews
C278	Q05.3a	R07	Aspects considered in the quality management framework	Other
C279	Q05.3a	R08	Aspects considered in the quality management framework	None Of the Above
C280	Q05.4	R01	Measure(s) being applied to reduce respondent burden	Repurposing administrative records and other data sources (e.g. big data) for statistical use
C281	Q05.4	R02	Measure(s) being applied to reduce respondent burden	Reducing sample sizes and/or innovating on sampling techniques (for example, crowdsourcing)
C282	Q05.4	R03	Measure(s) being applied to reduce respondent burden	Having integrated surveys and/or coordinating surveys between government agencies
C283	Q05.4	R04	Measure(s) being applied to reduce respondent burden	Simplifying questionnaires and/or prefilling them
C284	Q05.4	R05	Measure(s) being applied to reduce respondent burden	Producing projections and estimates
C285	Q05.4	R06	Measure(s) being applied to reduce respondent burden	Other
C286	Q05.4	R07	Measure(s) being applied to reduce respondent burden	None Of The Above
C287	Q05.5	R01	Additional comments on challenges to the implementation of Principle 5	
C288	Q06.1	R01	There is a confidentiality provision in the laws that regulate the NSO/NSS	
C289	Q06.1a	R01	Confidentiality provision in the laws applies to…	
C290	Q06.2	R01	Aspects considered in the confidentiality policy of the NSO	Confidentiality agreement for staff, including penalties
C291	Q06.2	R02	Aspects considered in the confidentiality policy of the NSO	Procedures for granting access to microdata
C292	Q06.2	R03	Aspects considered in the confidentiality policy of the NSO	Contracts with non-staff who access microdata, including penalties
C293	Q06.2	R04	Aspects considered in the confidentiality policy of the NSO	Procedures for storing and destroying individual records
C294	Q06.2	R05	Aspects considered in the confidentiality policy of the NSO	Checks before releasing micro-data
C295	Q06.2	R06	Aspects considered in the confidentiality policy of the NSO	Obligation to inform respondents about uses of data
C296	Q06.2	R07	Aspects considered in the confidentiality policy of the NSO	Training of staff on protecting individual data
C297	Q06.2	R08	Aspects considered in the confidentiality policy of the NSO	Research and innovation on confidentiality
C298	Q06.2	R09	Aspects considered in the confidentiality policy of the NSO	Other
C299	Q06.2	R10	Aspects considered in the confidentiality policy of the NSO	None Of The Above
C300	Q06.2a	R01	Examples of cases in which the confidentiality policy was violated in the past five years, and the sanctions that were applied	
C301	Q06.3	R01	Practices being implemented to anonymize statistical data	Removing individual names of persons or enterprises in databases
C302	Q06.3	R02	Practices being implemented to anonymize statistical data	Suppression of information that allows for re-identification of respondents
C303	Q06.3	R03	Practices being implemented to anonymize statistical data	Applying confidentiality checks with specialized software
C304	Q06.3	R04	Practices being implemented to anonymize statistical data	Manually checking data prepared for dissemination
C305	Q06.3	R05	Practices being implemented to anonymize statistical data	Having specific authorities scrutinize applications for accessing confidential data
